hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-0119,241,이호표피부과의원,의원,서울특별시,강남구,신사동,이호표,"서울특별시 강남구 압구정로8길 20 (신사동,호암빌딩3층)","미국,일본,중국,몽골,"
BE_LiST21-0120,242,강남초이스피부과,의원,서울특별시,강남구,신사동,최광호,서울특별시 강남구 신사동 501 신사미타워 802호,"일본,중국,"
BE_LiST21-0164,2092,스타일치과의원,치과의원,서울특별시,성동구,행당1동,남세진,"서울특별시 성동구 왕십리로 309 (행당동,이스티빌401호,402호)",
BE_LiST21-0165,326,인터케어내과의원,의원,서울특별시,강남구,역삼2동,송인숙,"서울특별시 강남구 테헤란로 322 (역삼동,한신인터밸리24.5층(법정4층))","미국,일본,중국,"
BE_LiST21-0166,2114,아담스비뇨기과의원,의원,서울특별시,강남구,삼성1동,이무연,서울특별시 강남구 삼성1동 158-23 14층,
BE_LiST21-0167,2115,연세재활의학과의원,의원,서울특별시,서초구,양재1동,박성진,서울특별시 서초구 양재1동 80-3 동아빌딩 2층,
BE_LiST21-0169,2117,베버리힐스의원,의원,서울특별시,강남구,압구정동,이석우,서울특별시 강남구 신사동 609-1 미승빌딩 2층,
BE_LiST21-0170,318,퓨어피부과의원,의원,서울특별시,강남구,압구정동,정혜신외1명,"서울특별시 강남구 신사동 666-14 배강빌딩 304,305호","미국,일본,"
BE_LiST21-0172,2127,마리아나외과의원,의원,서울특별시,강동구,성내2동,이무혁,서울특별시 강동구 성내동 64-13 브라운스톤천호511,
BE_LiST21-0174,2138,시우성형외과의원,의원,서울특별시,서초구,서초4동,이시우,서울특별시 서초구 서초동 1305-2 유화빌딩 701,
BE_LiST21-0175,2144,연세메이트치과,치과의원,서울특별시,강동구,천호1동,이광출외4명,서울특별시 강동구 천호동 24-8 가야빌딩4층 402,
BE_LiST21-0176,2156,누리마루한의원,한의원,서울특별시,서초구,반포1동,김달원,서울특별시 서초구 반포동 20-45 반포자이프라자상가 515,
BE_LiST21-0177,2189,남재현프렌닥터내과의원,의원,서울특별시,서초구,서초2동,남재현,서울특별시 서초구 남부순환로 2575 (신방빌딩3층),
BE_LiST21-0178,2160,엔비성형외과의원,의원,서울특별시,강남구,신사동,조홍규,서울특별시 강남구 신사동 513-1 동원빌딩3층,
BE_LiST21-0179,2821,팝성형외과의원,의원,서울특별시,강남구,신사동,김은영외1명,"서울특별시 강남구 신사동 584-3 원방빌딩 1, 2층","중국,"
BE_LiST21-0180,2165,플로라성형외과의원,의원,서울특별시,강남구,신사동,신동민/김인철,서울특별시 강남구 신사동 575 극동스포츠빌딩B-802,"중국,"
BE_LiST21-0181,2134,눈에미소안과,의원,서울특별시,강남구,역삼1동,구형진 외 2명,서울특별시 강남구 역삼동 820-9,동남아시아
BE_LiST21-0182,2136,더블유성형외과의원,의원,서울특별시,서초구,서초4동,오혁수,서울특별시 서초구 서초동 1318-2 통영빌딩 15층,
BE_LiST21-0183,2148,시크릿성형외과의원,의원,서울특별시,강남구,역삼1동,안병준,서울특별시 강남구 역삼동 826-24 화인타워4층일부,
BE_LiST21-0184,3815,맑은숲한의원,한의원,서울특별시,동작구,사당1동,이지연,서울 동작구 사당동 1031-27 양지빌딩 4층,
BE_LiST21-0185,2172,강남준성형외과의원,의원,서울특별시,서초구,반포1동,이태섭,서울특별시 서초구 반포동 706-9 한국교과서연구재단빌딩2층,
BE_LiST21-0186,2168,화인치과의원,치과의원,서울특별시,송파구,가락2동,김기섭,서울특별시 송파구 가락동 125-6 3층,
